date,sector,business_type,estimated_transactions,estimated_revenue
2026-01-01,Market Street,Retail,199,159200
2026-01-01,Market Street,Healthcare,69,103500
2026-01-01,Market Street,Entertainment,152,76000
2026-01-01,Market Street,Services,86,103200
2026-01-01,Market Street,Grocery,259,155400
2026-01-01,Market Street,Food & Beverage,291,101850
2026-01-01,Tech Park,Healthcare,54,81000
2026-01-01,Tech Park,Entertainment,146,73000
2026-01-01,Tech Park,Services,104,124800
2026-01-01,Tech Park,Retail,173,138400
2026-01-01,Old Town,Entertainment,91,45500
2026-01-01,Old Town,Grocery,172,103200
2026-01-01,Old Town,Retail,113,90400
2026-01-01,Old Town,Services,74,88800
2026-01-01,Old Town,Food & Beverage,194,67900
2026-01-01,Old Town,Healthcare,30,45000
2026-01-01,Riverside,Food & Beverage,150,52500
2026-01-01,Riverside,Healthcare,29,43500
2026-01-01,Riverside,Grocery,126,75600
2026-01-01,Riverside,Retail,89,71200
2026-01-01,Riverside,Services,44,52800
2026-01-01,College Road,Retail,134,107200
2026-01-01,College Road,Grocery,199,119400
2026-01-01,College Road,Entertainment,111,55500
2026-01-01,College Road,Services,76,91200
2026-01-01,College Road,Food & Beverage,270,94500
2026-01-01,College Road,Healthcare,59,88500
2026-01-01,Industrial Zone,Entertainment,48,24000
2026-01-01,Industrial Zone,Retail,51,40800
2026-01-01,Industrial Zone,Services,32,38400
2026-01-01,Industrial Zone,Healthcare,21,31500
2026-01-01,Industrial Zone,Food & Beverage,92,32200
2026-01-01,Industrial Zone,Grocery,77,46200
2026-01-01,Central Mall,Healthcare,84,126000
2026-01-01,Central Mall,Retail,233,186400
2026-01-01,Central Mall,Entertainment,215,107500
2026-01-01,Central Mall,Grocery,333,199800
2026-01-01,Station Area,Grocery,243,145800
2026-01-01,Station Area,Retail,159,127200
2026-01-01,Station Area,Food & Beverage,278,97300
2026-01-01,Station Area,Entertainment,150,75000
2026-01-02,Market Street,Retail,166,132800
2026-01-02,Market Street,Healthcare,67,100500
2026-01-02,Market Street,Entertainment,133,66500
2026-01-02,Market Street,Services,94,112800
2026-01-02,Market Street,Grocery,252,151200
2026-01-02,Market Street,Food & Beverage,247,86450
